% time spent exploring,episodes,mean 100 episode reward,steps
92,100,-200.0,19799
84,200,-200.0,39799
76,300,-200.0,59799
68,400,-200.0,79799
60,500,-200.0,99799
53,600,-200.0,119799
45,700,-200.0,139799
37,800,-200.0,159799
29,900,-200.0,179799
21,1000,-200.0,199799
13,1100,-200.0,219799
6,1200,-183.4,238140
2,1300,-153.9,253528
2,1400,-157.9,269316
2,1500,-181.2,287440
2,1600,-198.1,307249
2,1700,-195.9,326836
2,1800,-182.0,345037
2,1900,-198.3,364866
2,2000,-200.0,384866
2,2100,-198.7,404732
2,2200,-200.0,424732
2,2300,-198.9,444626
2,2400,-175.2,462149
2,2500,-197.0,481846
2,2600,-199.1,501757
2,2700,-181.8,519937
2,2800,-197.4,539675
2,2900,-200.0,559673
2,3000,-199.3,579606
2,3100,-200.0,599606
2,3200,-198.7,619477
2,3300,-199.1,639391
2,3400,-200.0,659391
2,3500,-200.0,679391
2,3600,-200.0,699391
2,3700,-200.0,719391
2,3800,-194.5,738839
2,3900,-194.8,758324
2,4000,-200.0,778324
2,4100,-200.0,798324
2,4200,-200.0,818324
2,4300,-200.0,838324
2,4400,-195.8,857901
2,4500,-200.0,877901
2,4600,-200.0,897901
2,4700,-200.0,917901
2,4800,-200.0,937901
2,4900,-200.0,957901
2,5000,-197.5,977651
2,5100,-200.0,997651
2,5200,-200.0,1017651
2,5300,-200.0,1037651
2,5400,-199.6,1057616
2,5500,-200.0,1077616
2,5600,-200.0,1097616
2,5700,-200.0,1117616
2,5800,-196.8,1137296
2,5900,-200.0,1157296
2,6000,-200.0,1177296
2,6100,-199.0,1197199
2,6200,-186.1,1215813
2,6300,-193.3,1235147
2,6400,-200.0,1255147
2,6500,-194.0,1274545
2,6600,-200.0,1294545
2,6700,-196.4,1314186
2,6800,-199.9,1334180
2,6900,-200.0,1354180
2,7000,-200.0,1374180
2,7100,-199.8,1394162
2,7200,-200.0,1414162
2,7300,-199.4,1434105
2,7400,-200.0,1454105
2,7500,-200.0,1474105
2,7600,-200.0,1494105
2,7700,-200.0,1514105
2,7800,-200.0,1534105
2,7900,-200.0,1554105
2,8000,-200.0,1574105
2,8100,-200.0,1594105
2,8200,-198.7,1613979
2,8300,-200.0,1633979
2,8400,-200.0,1653979
2,8500,-200.0,1673979
2,8600,-200.0,1693979
2,8700,-199.6,1713936
2,8800,-200.0,1733936
2,8900,-200.0,1753936
2,9000,-200.0,1773936
2,9100,-199.1,1793848
2,9200,-200.0,1813848
2,9300,-199.4,1833787
2,9400,-200.0,1853787
2,9500,-199.8,1873768
2,9600,-199.9,1893761
2,9700,-200.0,1913761
2,9800,-200.0,1933761
2,9900,-196.0,1953359
2,10000,-200.0,1973359
2,10100,-200.0,1993359
2,10200,-196.3,2012993
2,10300,-200.0,2032993
2,10400,-200.0,2052993
2,10500,-200.0,2072993
2,10600,-200.0,2092993
2,10700,-200.0,2112993
2,10800,-200.0,2132993
2,10900,-200.0,2152993
2,11000,-200.0,2172993
2,11100,-200.0,2192993
2,11200,-199.1,2212906
2,11300,-200.0,2232906
2,11400,-200.0,2252906
2,11500,-200.0,2272906
2,11600,-200.0,2292906
2,11700,-200.0,2312906
2,11800,-198.2,2332724
2,11900,-200.0,2352724
2,12000,-200.0,2372724
2,12100,-200.0,2392724
2,12200,-200.0,2412724
2,12300,-200.0,2432724
2,12400,-200.0,2452724
2,12500,-200.0,2472724
2,12600,-200.0,2492724
